"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","sig_het"
47.4255,0.92484,0.0136832,17.4659,3.65039,3.18251,0.960558,0.00505799,24.2206,4.649,9.72645,3.73861,56.7864,17.9825,0.203864,64.9405,1.46918
40.5147,0.889255,0.0120413,19.8598,3.33739,4.22812,0.913401,0.00821247,25.2745,7.89638,11.1185,5.63001,37.4765,16.1636,0.314932,42.9597,1.52524
43.8044,0.936525,0.00953001,17.9483,3.31191,3.32015,0.969493,0.00232836,23.627,4.89635,10.1766,2.82596,41.5449,16.9989,0.286823,34.7771,1.51789
45.9313,0.954141,0.0105549,18.0218,3.51746,3.71661,0.917755,0.00596245,25.7987,5.78579,8.94376,2.59224,67.2576,16.7908,0.150068,39.5047,1.51284
43.8967,0.971486,0.0115114,16.6392,3.21744,3.59204,0.946838,0.00748409,24.421,5.89251,9.97297,6.84194,90.7156,18.4707,0.298041,52.5984,1.47166
47.681,0.911901,0.0147111,18.9231,3.86551,3.58692,0.957891,0.00514287,26.5389,4.47437,16.7172,8.51566,37.0721,15.0301,0.387174,92.2751,1.64143
42.7019,0.943128,0.00919431,18.668,3.34232,4.16237,0.958701,0.00521412,24.5499,7.35852,10.0656,3.40644,64.6553,17.0125,0.092589,40.5525,1.5367
40.8425,0.936284,0.0125077,18.3024,3.29154,3.46369,0.963021,0.0103621,23.7798,5.23759,10.8491,5.47622,53.82,16.6815,0.248372,55.1057,1.40555
42.701,0.949112,0.0122827,19.1017,3.4949,5.13304,0.959803,0.0139141,22.7896,8.25008,7.77228,4.91201,59.2434,15.1867,0.422686,42.136,1.53908
47.3006,0.926877,0.012845,19.9047,3.8045,4.38436,0.982407,0.00406073,23.4186,5.32292,7.56544,2.43238,51.1609,14.9355,0.310986,30.9739,1.64329
43.6708,0.990631,0.0166806,18.3029,3.53723,4.53909,0.986554,0.00327271,22.3393,6.02903,13.2516,4.21941,58.0882,14.3619,0.184933,61.642,1.51555
43.9693,0.937536,0.0145505,18.4192,3.70823,2.56233,0.953737,0.00888713,23.5452,4.39701,8.85122,2.90903,61.8262,16.6315,0.175842,58.3858,1.50473
41.0082,0.967074,0.0119252,18.9218,3.43791,4.21342,0.931735,0.00367999,25.0742,7.49656,15.6634,4.52563,38.8645,15.784,0.413369,66.0212,1.57233
40.8814,0.922769,0.00816935,18.4665,3.18637,4.32627,0.928469,0.00490709,24.7425,5.81136,10.8401,3.09127,37.7623,16.4346,0.143838,62.098,1.48109
32.5011,0.858412,0.0107118,23.0105,3.42248,5.39867,0.981597,0.00509209,23.3211,5.83141,12.1114,3.51338,39.5164,15.2973,0.313296,27.2087,1.58554
44.1089,0.890618,0.00707477,19.5485,3.47438,4.92714,0.863087,0.00324345,27.3121,7.11633,13.2715,2.60491,41.5779,16.2127,0.192761,64.5612,1.74729
42.9206,0.87587,0.0121076,19.9449,3.57579,4.72153,0.859268,0.00701387,26.8004,7.71652,12.222,3.59848,34.9587,16.5755,0.280691,69.7298,1.41476
41.4786,0.953409,0.00867901,16.9602,2.9055,3.51481,0.96245,0.00423446,25.6552,6.4536,7.84744,3.39915,68.2704,16.8165,0.329587,51.3318,1.49919
41.7088,0.9143,0.0084285,19.0254,3.19757,4.17182,0.971331,0.00866335,24.2701,4.83769,6.52839,4.02634,66.7231,15.5501,0.414021,29.3267,1.56369
47.4819,0.861474,0.0096149,17.6642,3.32105,3.93862,0.923778,0.00794626,27.1954,7.08707,10.8246,5.07575,46.2396,15.9933,0.298115,73.0481,1.47872
41.7408,0.861524,0.0123396,19.9885,3.43295,4.38598,0.986287,0.00347876,28.0152,7.89044,9.69455,3.97651,50.5441,15.0075,0.305693,75.8245,1.54095
38.4813,0.857809,0.0107405,21.336,3.36646,4.53014,0.927942,0.0126726,24.9974,6.00215,10.0855,2.94692,32.2788,14.9832,0.158509,72.3311,1.51214
39.7978,0.929947,0.0125632,19.4704,3.42692,4.97261,0.977293,0.00812888,23.1078,8.32993,7.84014,3.98368,64.686,16.9841,0.255623,36.3336,1.51112
45.0495,0.975657,0.0124158,17.6573,3.3397,4.42993,0.813915,0.00270794,23.4047,3.11356,10.1477,3.60899,71.0388,16.4433,0.411381,44.0763,1.3855
42.2459,0.954592,0.0095613,17.3484,3.21474,4.17198,0.952036,0.0073823,25.1558,7.00971,8.35498,3.28545,66.6639,17.7956,0.273614,39.8373,1.5128
38.1634,0.914616,0.00743717,19.5129,2.99037,4.54679,0.961234,0.00704701,23.5762,5.01043,10.4398,3.28999,52.5781,15.8089,0.255472,119.537,1.53831
38.2485,0.860081,0.00772497,19.7516,3.03046,4.46723,0.972185,0.0156941,25.7563,9.78374,12.1949,4.21029,54.4446,15.5143,0.500335,30.7349,1.49137
44.7395,0.971003,0.00947706,16.574,3.12253,6.89667,0.893172,0.0089627,20.6247,5.88728,10.9906,6.23824,40.7926,16.587,0.546565,23.5243,1.47161
44.9904,0.970364,0.0127482,18.1382,3.53272,3.50545,0.960412,0.00537515,23.384,4.26137,9.95351,4.80454,58.5317,16.686,0.267742,45.5743,1.49256
47.3913,0.989226,0.00995057,16.888,3.18665,6.22538,0.949937,0.0178349,20.9865,6.84287,10.0386,3.58532,66.7299,17.2921,0.164101,66.9551,1.54209
46.7429,0.904522,0.00866671,16.8716,3.18569,2.27697,0.9623,0.00438929,27.6711,6.22997,10.6976,5.13754,72.3853,17.9243,0.117215,23.9748,1.48244
43.4606,0.905945,0.0147374,19.4345,3.59612,5.09181,0.893372,0.0177488,21.4428,3.67162,9.31809,4.16717,52.0568,15.0556,0.279847,36.3382,1.47153
42.4983,0.979246,0.0110903,18.0623,3.14742,3.90728,0.979223,0.0045257,23.1406,4.88137,8.4489,3.23441,54.4901,15.8617,0.31576,23.965,1.47872
53.5032,0.970209,0.0136182,17.0801,3.87617,4.96881,0.985921,0.00598053,23.292,5.63109,7.68646,3.41146,86.3069,16.182,0.183232,40.1786,1.58951
42.6175,0.913245,0.0105232,18.6109,3.40368,5.73233,0.976903,0.00653752,22.9734,6.13621,9.19145,3.84425,52.446,16.4149,0.466435,27.7253,1.5208
41.9707,0.942725,0.0143541,18.3439,3.27592,4.22972,0.978034,0.015834,22.2619,5.26185,9.71348,3.35964,43.7167,15.083,0.213328,51.3873,1.50178
41.5398,0.970984,0.00896545,17.0239,3.10708,3.86724,0.881939,0.00503246,32.1054,6.65203,10.1263,6.5161,66.4578,17.7063,0.199411,59.3819,1.49042
39.0045,0.883546,0.0122261,19.7854,3.42129,5.33412,0.984571,0.00464256,26.2555,8.02231,10.7947,7.44545,70.713,16.0468,0.35135,67.59,1.45917
45.2772,0.938149,0.0114199,18.7254,3.56612,4.3245,0.943655,0.00238801,26.1399,5.31364,11.4746,3.99229,44.168,15.3943,0.24747,70.2817,1.55744
42.5128,0.855985,0.0137304,20.8335,4.00199,4.85735,0.99705,0.00510051,23.8261,6.70601,9.69332,4.10574,48.336,15.004,0.635595,32.2185,1.68424
47.8663,0.950438,0.00975283,17.4336,3.3767,3.75754,0.888515,0.00791645,26.3775,5.29469,6.10643,2.41862,67.2993,16.3676,0.156732,45.6135,1.55507
50.3801,0.938046,0.00847885,16.2006,3.15396,4.03526,0.909796,0.00543588,28.2058,6.20561,10.7291,3.9772,51.1855,16.0786,0.572651,41.2759,1.4004
